Compound_No,SMILES,Value,FP_12,FP_13,FP_50,FP_336,FP_481,FP_516,FP_653,FP_880,FP_1188,FP_1192,FP_1540,FP_1673,FP_1713,FP_1893,FP_2037,PubchemFP259,PubchemFP308,PubchemFP548,PubchemFP617,PubchemFP639,APC2D1_C_C,APC2D1_C_N,APC2D1_C_O,APC2D2_C_N,APC2D2_C_O,APC2D3_C_C,APC2D3_C_N,APC2D3_C_O,APC2D3_C_S,APC2D4_C_N,APC2D4_C_O,APC2D4_C_S,APC2D5_C_C,APC2D5_C_N,APC2D5_C_O,APC2D5_C_S,APC2D5_N_O,APC2D6_C_N,APC2D7_C_C,APC2D7_C_N,APC2D7_C_O,APC2D7_C_X,APC2D7_O_O,APC2D8_C_O,APC2D9_C_C,APC2D9_C_N,APC2D9_C_O,APC2D9_N_N,APC2D10_C_N,APC2D10_C_S,APC2D10_N_O
1,CCn1cc(CCC(CC(=O)O)c2ccc(C)c(CN3C[C@H](C)Cc4ccccc4S3(=O)=O)c2)nn1,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,26,5,2,10,4,35,11,10,5,9,14,4,34,7,14,3,0,9,32,10,10,0,0,6,26,6,8,1,3,1,0
2,CN(Cc1cc(C(CC(=O)O)c2ccc3c(c2)nnn3C)ccc1Cl)S(C)(=O)=O,7.26,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,17,5,2,9,4,27,9,6,1,7,6,2,23,6,12,2,0,9,12,11,10,3,0,4,7,5,10,1,1,1,0
3,CCOc1ccc(S(=O)(=O)Nc2cc(CCCC(=O)O)c(NS(=O)(=O)c3ccc(OCC)cc3)c3ccccc23)cc1,6.82,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,29,2,6,6,12,32,11,18,8,12,20,9,35,6,20,8,0,2,43,5,18,0,0,16,29,4,19,0,2,4,0
4,Cc1ccc(C(Cc2nnn[nH]2)c2ccc3c(nnn3C)c2C)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,27,7,2,14,6,41,17,10,4,18,10,4,41,19,9,3,0,27,33,27,7,0,0,6,25,12,8,7,11,1,4
5,COc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c(OCc3cccnc3)c2)cc1,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,25,6,10,10,15,29,10,24,10,7,29,6,41,5,28,3,0,7,34,11,30,0,2,27,36,8,29,0,6,5,4
6,Cc1ccc(C(CC(=O)OCC2CCNC2)c2ccc3c(nnn3C)c2C)cc1CN1CCN(C)c2ccccc2S1(=O)=O,5.26,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,30,10,3,15,5,46,15,13,4,15,14,4,46,9,18,3,0,12,46,15,10,0,0,6,43,16,10,1,16,2,0
7,COc1cc(C(CC(=O)O)c2ccc(C)c(CN3C(C)COc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,6.26,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,26,5,6,11,9,40,11,15,5,11,19,3,41,9,17,3,0,9,33,11,15,0,2,12,27,6,13,1,4,1,0
8,COc1cc(C(CC(=O)O)c2ccc(Cl)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,25,5,6,10,10,37,12,14,4,10,17,4,38,9,19,2,0,9,28,11,14,6,2,10,24,5,12,1,2,1,0
9,CCn1ccc(C(CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc1=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,25,5,5,6,9,39,6,15,4,6,17,4,36,5,19,3,0,5,32,5,13,0,2,12,25,1,13,1,2,0,0
10,Cc1ccc(C(CC(=O)O)c2ccc3c(c2)C(=O)CC3)cc1CN1C[C@@H](C)Oc2ccccc2S1(=O)=O,7.26,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,30,2,5,3,10,42,5,15,4,5,16,4,40,3,19,3,0,2,37,3,18,0,0,14,27,2,12,0,2,2,1
